NP-BT-NT                60.000     87.626   4 med # educated guess 
BT-CT-B                 60.000    113.814   0 med # educated guess 
CM-CM-BT                60.000    107.267   4 med # educated guess 
N-BT-Br                 60.000    114.903   0 med # educated guess 
P2-BT-Br                60.000    109.001   0 med # educated guess 
N-P2-BT                 60.000    115.260   0 med # educated guess 
OWS-BT-CA               60.000    105.434   0 med # educated guess 
N-BT-BT                 60.000    108.622   0 med # educated guess 
S-BT-BT                 60.000    114.198   0 med # educated guess 
CT-CT-BT                60.000     60.198   3 med # educated guess 
CA-NIP-BT               60.000    117.194   0 med # educated guess 
Cl-BT-CA                60.000    113.360   0 med # educated guess 
CT-N4-BT                60.000    138.245   0 med # educated guess 
NZ-CZ-BT                60.000    177.614   0 med # educated guess 
CZ-NI-BT                60.000    178.220   0 med # educated guess 
Cl-BT-CT                60.000    112.398   0 med # educated guess 
NIP-BT-NT               60.000     83.653   4 med # educated guess 
I-BT-CM                 60.000    111.644   0 med # educated guess 
H-OS-BT                 60.000    117.235   0 med # educated guess 
S-BT-H                  60.000    105.509   0 med # educated guess 
Si-CM-B                 60.000    112.353   0 med # educated guess 
Cl-BT-Cl                60.000    109.987   0 med # educated guess 
S-BT-S                  60.000    105.027   0 med # educated guess 
SZ-OS-BT                60.000    118.125   0 med # educated guess 
SY-NT-BT                60.000    127.375   0 med # educated guess 
CA-BT-CT                60.000    132.473   0 med # educated guess 
CA-BT-CM                60.000    107.058   0 med # educated guess 
CA-BT-CA                60.000    112.669   0 med # educated guess 
BT-BT-BT                60.000    120.444   0 med # educated guess 
O-BT-Br                 60.000    109.042   0 med # educated guess 
C-OS-BT                 60.000    117.167   0 med # educated guess 
Si-CT-B                 60.000    113.906   0 med # educated guess 
BT-NT-B                 60.000     94.446   4 med # educated guess 
Br-BT-Br                60.000    110.049   0 med # educated guess 
CT-P2-BT                60.000    114.188   0 med # educated guess 
CT-BT-B                 60.000    120.328   0 med # educated guess 
CT-BT-C                 60.000    108.538   0 med # educated guess 
BT-P2-BT                60.000     63.525   3 med # educated guess 
CT-BT-BT                60.000     51.527   3 med # educated guess 
OS-B-NP                 60.000    110.818   0 med # educated guess 
CZ-CZ-BT                60.000    176.544   0 med # educated guess 
CA-CA-B                 60.000    121.335   0 med # educated guess 
S-P2-BT                 60.000    116.743   0 med # educated guess 
CM-OS-BT                60.000    119.529   0 med # educated guess 
P2-P2-BT                60.000     55.811   3 med # educated guess 
S-BT-P2                 60.000    104.577   0 med # educated guess 
BT-BT-B                 60.000    164.584   0 med # educated guess 
S-BT-NP                 60.000    107.450   0 med # educated guess 
N-BT-NT                 60.000    117.223   0 med # educated guess 
H-NP-BT                 60.000    109.385   0 med # educated guess 
S-BT-NB                 60.000    109.670   0 med # educated guess 
N-BT-NB                 60.000     99.282   0 med # educated guess 
BT-CT-BT                60.000    115.486   0 med # educated guess 
CM-NIP-BT               60.000    123.560   0 med # educated guess 
CA-NB-BT                60.000    125.772   0 med # educated guess 
H-BT-BT                 60.000    116.402   0 med # educated guess 
CM-S-BT                 60.000     71.214   4 med # educated guess 
NB-BT-Cl                60.000    109.093   0 med # educated guess 
CT-CT-B                 60.000    110.135   0 med # educated guess 
NI-NP-BT                60.000    114.321   0 med # educated guess 
NB-BT-CZ                60.000    108.797   0 med # educated guess 
NB-BT-CT                60.000    110.070   0 med # educated guess 
NP-CT-BT                60.000     59.496   3 med # educated guess 
H-BT-Br                 60.000    108.022   0 med # educated guess 
N4-BT-CT                60.000    116.413   0 med # educated guess 
NB-BT-CM                60.000    109.863   0 med # educated guess 
NT-B-NT                 60.000    122.841   0 med # educated guess 
NT-B-NP                 60.000    123.137   0 med # educated guess 
P2-OS-B                 60.000    120.125   0 med # educated guess 
NB-BT-CA                60.000    108.947   0 med # educated guess 
CM-NT-BT                60.000     89.736   4 med # educated guess 
BT-NP-BT                60.000    114.055   0 med # educated guess 
Si-NT-B                 60.000    120.267   0 med # educated guess 
BT-OS-B                 60.000    122.145   0 med # educated guess 
BT-NP-BT                60.000     86.910   4 med # educated guess 
CA-OS-B                 60.000    105.464   0 med # educated guess 
P2-NT-BT                60.000    125.531   0 med # educated guess 
CM-CM-BT                60.000    130.317   0 med # educated guess 
OS-B-CA                 60.000    120.189   0 med # educated guess 
CM-P2-BT                60.000     78.742   4 med # educated guess 
OS-B-CM                 60.000    117.797   0 med # educated guess 
OS-BT-O                 60.000    108.749   0 med # educated guess 
OS-B-CT                 60.000    120.531   0 med # educated guess 
BT-NP-B                 60.000     80.439   4 med # educated guess 
P2-BT-BT                60.000     58.238   3 med # educated guess 
OS-BT-H                 60.000    112.009   0 med # educated guess 
P2-BT-P2                60.000     68.378   3 med # educated guess 
CA-S-BT                 60.000     97.602   0 med # educated guess 
NT-B-CM                 60.000     88.422   4 med # educated guess 
CA-NB-B                 60.000    126.886   0 med # educated guess 
Si-NT-BT                60.000    138.212   0 med # educated guess 
NT-BT-F                 60.000    111.514   0 med # educated guess 
OS-BT-F                 60.000    109.240   0 med # educated guess 
BT-NT-BT                60.000     92.992   4 med # educated guess 
F-NP-BT                 60.000    105.457   0 med # educated guess 
Si-CM-BT                60.000    106.696   0 med # educated guess 
NB-BT-H                 60.000    109.069   0 med # educated guess 
NT-NIP-BT               60.000    108.898   0 med # educated guess 
CA-NT-B                 60.000    133.162   0 med # educated guess 
NP-OS-BT                60.000    112.617   0 med # educated guess 
CZ-NP-BT                60.000    106.265   0 med # educated guess 
Cl-BT-BT                60.000    115.153   0 med # educated guess 
P2-BT-BT                60.000    110.099   0 med # educated guess 
SZ-O-BT                 60.000    119.161   0 med # educated guess 
OS-BT-NB                60.000    107.336   0 med # educated guess 
BT-NT-B                 60.000    146.492   0 med # educated guess 
N-C-BT                  60.000    114.563   0 med # educated guess 
OS-BT-NT                60.000    109.275   0 med # educated guess 
CA-P2-BT                60.000    113.495   0 med # educated guess 
OS-BT-NP                60.000    104.240   0 med # educated guess 
NB-B-CA                 60.000    113.189   0 med # educated guess 
NIP-CM-B                60.000    134.586   0 med # educated guess 
NI-BT-NI                60.000    112.166   0 med # educated guess 
NI-BT-NB                60.000    105.779   0 med # educated guess 
NP-BT-Br                60.000    112.103   0 med # educated guess 
OA-CA-BT                60.000    121.612   0 med # educated guess 
NT-B-BT                 60.000    129.622   0 med # educated guess 
NT-B-NB                 60.000    119.483   0 med # educated guess 
OS-BT-NIP               60.000    106.735   0 med # educated guess 
BT-CM-B                 60.000     87.407   4 med # educated guess 
NP-BT-BT                60.000    112.850   0 med # educated guess 
OS-CM-BT                60.000    124.560   0 med # educated guess 
CM-N-BT                 60.000     96.655   4 med # educated guess 
CT-BT-CT                60.000     59.604   3 med # educated guess 
NP-CT-BT                60.000    109.992   0 med # educated guess 
NP-BT-CT                60.000     59.318   3 med # educated guess 
SA-CA-BT                60.000    121.164   0 med # educated guess 
CM-O-BT                 60.000    123.730   0 med # educated guess 
OS-B-OS                 60.000    119.435   0 med # educated guess 
Si-NP-BT                60.000    117.814   0 med # educated guess 
OS-NP-BT                60.000    107.065   0 med # educated guess 
OWS-BT-F                60.000    107.506   0 med # educated guess 
F-BT-CT                 60.000    109.565   0 med # educated guess 
P2-BT-CT                60.000    117.253   0 med # educated guess 
P2-BT-CZ                60.000    106.881   0 med # educated guess 
BT-NP-B                 60.000    101.483   0 med # educated guess 
N-BT-Cl                 60.000    113.490   0 med # educated guess 
CM-N-BT                 60.000    123.042   0 med # educated guess 
F-BT-CA                 60.000    110.025   0 med # educated guess 
P2-BT-CA                60.000    112.433   0 med # educated guess 
F-BT-CM                 60.000    109.917   0 med # educated guess 
P2-BT-CM                60.000    102.987   0 med # educated guess 
NI-BT-H                 60.000    109.325   0 med # educated guess 
NI-BT-N                 60.000    105.165   0 med # educated guess 
Cl-BT-B                 60.000    111.326   0 med # educated guess 
N-BT-CZ                 60.000    109.300   0 med # educated guess 
N-BT-CT                 60.000    109.809   0 med # educated guess 
CT-S-BT                 60.000     99.085   0 med # educated guess 
NB-CA-B                 60.000    123.374   0 med # educated guess 
CZ-CT-BT                60.000    114.882   0 med # educated guess 
P2-BT-Cl                60.000    109.502   0 med # educated guess 
N-BT-CA                 60.000    112.427   0 med # educated guess 
H-BT-CZ                 60.000    109.491   0 med # educated guess 
CT-NT-BT                60.000    123.801   0 med # educated guess 
H-BT-CT                 60.000    112.782   0 med # educated guess 
S-BT-NIP                60.000     83.092   4 med # educated guess 
H-BT-CA                 60.000    108.789   0 med # educated guess 
NIP-BT-F                60.000    108.810   0 med # educated guess 
NIP-BT-N                60.000    105.821   0 med # educated guess 
Cl-P2-BT                60.000    112.008   0 med # educated guess 
NP-OS-B                 60.000    107.187   0 med # educated guess 
NT-B-CA                 60.000    127.359   0 med # educated guess 
H-BT-Cl                 60.000    107.045   0 med # educated guess 
CA-N-BT                 60.000    124.105   0 med # educated guess 
S-BT-N                  60.000     84.886   4 med # educated guess 
NP-BT-CZ                60.000    110.498   0 med # educated guess 
SZ-NP-BT                60.000    106.213   0 med # educated guess 
NT-BT-CM                60.000     82.611   4 med # educated guess 
NT-P2-BT                60.000    115.491   0 med # educated guess 
CT-N-BT                 60.000    119.775   0 med # educated guess 
NT-BT-NP                60.000    112.027   0 med # educated guess 
B-OS-B                  60.000    119.990   0 med # educated guess 
NT-BT-NT                60.000    109.043   0 med # educated guess 
NP-BT-F                 60.000    110.294   0 med # educated guess 
SY-OS-BT                60.000    126.850   0 med # educated guess 
NI-CM-BT                60.000    120.149   0 med # educated guess 
NP-BT-NI                60.000    105.506   0 med # educated guess 
NP-BT-NP                60.000    108.655   0 med # educated guess 
CM-CM-B                 60.000    115.512   0 med # educated guess 
Se-BT-CT                60.000    113.555   0 med # educated guess 
NP-BT-B                 60.000    110.575   0 med # educated guess 
Se-Se-BT                60.000     99.328   0 med # educated guess 
CT-BT-CT                60.000    110.803   0 med # educated guess 
NB-BT-NT                60.000     83.395   0 med # educated guess 
CT-BT-CM                60.000    113.744   0 med # educated guess 
NB-BT-NB                60.000    106.739   0 med # educated guess 
CT-BT-CA                60.000    111.805   0 med # educated guess 
B-NP-B                  60.000    116.643   0 med # educated guess 
P2-OS-BT                60.000    145.762   0 med # educated guess 
NIP-CM-BT               60.000    125.568   0 med # educated guess 
NB-BT-B                 60.000    107.848   0 med # educated guess 
CT-CT-BT                60.000    111.824   0 med # educated guess 
NI-OS-BT                60.000    107.144   0 med # educated guess 
CM-BT-CA                60.000    110.617   0 med # educated guess 
CM-BT-CM                60.000    113.013   0 med # educated guess 
B-NT-B                  60.000    121.801   0 med # educated guess 
OS-BT-Cl                60.000    109.036   0 med # educated guess 
B-BT-B                  60.000    119.311   0 med # educated guess 
Cl-BT-CM                60.000    112.009   0 med # educated guess 
P2-BT-P2                60.000     87.726   4 med # educated guess 
CA-CM-B                 60.000    125.085   1 med # educated guess 
OS-BT-CM                60.000    108.080   0 med # educated guess 
CZ-BT-CA                60.000    106.105   0 med # educated guess 
CA-CT-BT                60.000    112.453   0 med # educated guess 
OS-BT-CA                60.000    111.023   0 med # educated guess 
NT-NP-BT                60.000    110.972   0 med # educated guess 
NB-BT-F                 60.000    109.356   0 med # educated guess 
CZ-BT-CT                60.000    110.154   0 med # educated guess 
OS-BT-N                 60.000    108.507   0 med # educated guess 
NB-BT-C                 60.000    107.374   0 med # educated guess 
OS-BT-CZ                60.000    106.120   0 med # educated guess 
NB-BT-N                 60.000    105.187   0 med # educated guess 
OS-BT-CT                60.000    110.530   0 med # educated guess 
CZ-BT-CZ                60.000    111.897   0 med # educated guess 
SZ-NP-BT                60.000     90.356   4 med # educated guess 
NB-BT-I                 60.000    106.289   0 med # educated guess 
OS-BT-B                 60.000    114.669   0 med # educated guess 
NP-BT-Cl                60.000    109.958   0 med # educated guess 
NB-CA-BT                60.000    126.441   0 med # educated guess 
