CNA-NNE       448.000    1.365  0  high # opls core
CM-CT         317.000    1.510  0  high # opls core
C5B-N5B       410.000    1.394  0  high # opls core
CT1-CTD       268.000    1.529  0  high # opls core
CT3-HC        340.000    1.090  0  high # opls core
C-CM          410.000    1.444  0  high # opls core
CT-CTN        268.000    1.529  0  high # opls core
CN-NNC        461.000    1.354  0  high # opls core
CP1-N         337.000    1.449  0  high # opls core
H-NNE         434.000    1.010  0  high # opls core
CT-CTD        268.000    1.529  0  high # opls core
CT-OH2        320.000    1.410  0  high # opls core
CT-CZ         390.000    1.470  0  high # opls core
H-NA          434.000    1.010  0  high # opls core
CT1-CTQ       268.000    1.529  0  high # opls core
C5X-NA5       427.000    1.381  0  high # opls core
CTS-OH        320.000    1.410  0  high # opls core
OZ-SZ         700.000    1.530  0  high # opls core
NB-H          434.000    1.010  0  high # opls core
CTP-HC        340.000    1.090  0  high # opls core
C5N-NA        427.000    1.381  0  high # opls core
CT-NY         382.000    1.448  0  high # opls core
CTF-HC        340.000    1.090  0  high # opls core
CT1-N         337.000    1.449  0  high # opls core
S-S           166.000    2.038  0  high # opls core
C-NNE         418.000    1.388  0  high # opls core
CT-S          222.000    1.810  0  high # opls core
CT-NG         337.000    1.463  0  high # opls core
CT-CTM        268.000    1.529  0  high # opls core
CA-HA         367.000    1.080  0  high # opls core
C3T-HC        340.000    1.088  0  high # opls core
C56B-C5M      388.000    1.459  0  high # opls core
H-NE          434.000    1.010  0  high # opls core
CT-N*         337.000    1.475  0  high # opls core
CRAB-HA       367.000    1.080  0  high # opls core
CT1-CTG       268.000    1.529  0  high # opls core
CTO-HC        340.000    1.090  0  high # opls core
CN-NNF        436.000    1.374  0  high # opls core
CTE-HC        340.000    1.090  0  high # opls core
CG-NG         481.000    1.340  0  high # opls core
CG1-NG        481.000    1.340  0  high # opls core
H-NT          434.000    1.010  0  high # opls core
CA-OH         450.000    1.364  0  high # opls core
C5BD-HA       367.000    1.080  0  high # opls core
CO4-OS        214.000    1.327  0  high # opls core
CT1-CTT       268.000    1.529  0  high # opls core
C3T-N3T       382.000    1.448  3  high # opls core
CT1-HC        340.000    1.090  0  high # opls core
CB-CN         520.000    1.370  0  high # opls core
H-NI          434.000    1.010  0  high # opls core
H-NNB         434.000    1.010  0  high # opls core
CZ-O          570.000    1.138  0  high # dft/6-31g*
C-O           570.000    1.229  0  high # opls core
C-CTA         317.000    1.522  0  high # opls core
CRA-OA        462.000    1.357  0  high # opls core
C-NNC         457.000    1.358  0  high # opls core
C-CA          400.000    1.490  0  high # opls core
CA-CDS        325.000    1.464  0  high # dft/6/31g* empfc
C3T-C3T       260.000    1.509  3  high # opls core
C5BB-N5A      410.000    1.320  0  high # opls core
CA-SH         222.000    1.810  0  high # opls core
C5X-HA        367.000    1.080  0  high # opls core
CTI-CTJ       268.000    1.529  0  high # opls core
C56A-NB       461.000    1.354  0  high # opls core
CT-OH         320.000    1.410  0  high # opls core
CT1-CTO       268.000    1.529  0  high # opls core
CO3-CTI       317.000    1.522  0  high # opls core
CA-NE         481.000    1.393  0  high # opls core
C5N-HA        367.000    1.080  0  high # opls core
C-OH          450.000    1.364  0  high # opls core
CDS-OH        480.000    1.343  0  high # dft/6-31g* empfc
CTN-HC        340.000    1.090  0  high # opls core
C-CTP         317.000    1.522  0  high # opls core
CTD-HC        340.000    1.090  0  high # opls core
CDX-NNB       427.000    1.381  0  high # opls core
H-N3          434.000    1.010  0  high # opls core
CA-CA         469.000    1.400  0  high # opls core
CA-CA         420.000    1.493  4  high # dft/6-31g* empfc
C5BC-HA       367.000    1.080  0  high # opls core
C5A-C5BC      546.000    1.367  0  high # opls core
HO-OH2        553.000    0.945  0  high # opls core
H-NNF         434.000    1.010  0  high # opls core
CT3-OH        320.000    1.410  0  high # opls core
NO2-ON        550.000    1.225  0  high # opls core
CDX-NND       481.000    1.340  0  high # opls core
CT-SH         222.000    1.810  0  high # opls core
CT1-CTJ       268.000    1.529  0  high # opls core
H-NA5         434.000    1.010  0  high # opls core
C5X-NA5B      410.000    1.394  0  high # opls core
CRAB-NNF      440.000    1.371  0  high # opls core
CP1-CT        268.000    1.529  0  high # opls core
CRAB-NA       440.000    1.371  0  high # opls core
C56A-N*       436.000    1.374  0  high # opls core
CA-CT         317.000    1.510  0  high # opls core
CO3-O2Z       656.000    1.250  0  high # opls core
CTM-HC        340.000    1.090  0  high # opls core
CT-CT3        268.000    1.529  0  high # opls core
C56B-NNA      414.000    1.391  0  high # opls core
O2Z-P2        525.000    1.480  0  high # opls core
CTC-HC        340.000    1.090  0  high # opls core
C5BB-HA       367.000    1.080  0  high # opls core
CT1-CTE       268.000    1.529  0  high # opls core
CR-HA         367.000    1.080  0  high # opls core
CA-F          420.000    1.354  0  high # opls core
CT-CTT        268.000    1.529  0  high # opls core
CT-NE         382.000    1.448  0  high # opls core
CB-NNA        414.000    1.391  0  high # opls core
C5BB-C5BD     469.000    1.421  0  high # opls core
C4T-N4T       382.000    1.448  4  high # opls core
CA-S          250.000    1.760  0  high # opls core
CT-NO2        375.000    1.490  0  high # opls core
CM-N*         448.000    1.365  0  high # opls core
CA-OS         450.000    1.364  0  high # opls core
OS-P2         230.000    1.697  0  high # opls core ab initio r0
CM-NNB        448.000    1.365  0  high # opls core
CO-HC         340.000    1.090  0  high # opls core
N5A-NA        400.000    1.349  0  high # opls core
H-N           434.000    1.010  0  high # opls core
Br-CA         300.000    1.903  0  high # opls core ab initio r0
C5B-HA        367.000    1.080  0  high # opls core
CRA-NA5       477.000    1.343  0  high # opls core
CT1-CTM       268.000    1.529  0  high # opls core
CO3-CT        317.000    1.522  0  high # opls core
CN-N*         436.000    1.374  0  high # opls core
CQ-HA         367.000    1.080  0  high # opls core
C56A-C56B     447.000    1.419  0  high # opls core
CD-NI         500.000    1.261  1  high # opls core
CD-NI         607.899    1.431  0  high # opls core
CT-CTS        268.000    1.529  0  high # opls core
CRA-HA        367.000    1.080  0  high # opls core
C-CB          447.000    1.419  0  high # opls core
C5A-NA        427.000    1.381  0  high # opls core
C-OS          214.000    1.327  0  high # opls core
CDS-OS        570.000    1.348  0  high # dft/6-31g* empfc
CT-F          367.000    1.332  0  high # opls core
H-NY          434.000    1.010  0  high # opls core
HO-OS         553.000    0.945  0  high # opls core
C4T-C4T       268.000    1.529  4  high # opls core
CT-SZ         340.000    1.853  0  high # opls core ab initio r0
Br-CT         245.000    1.990  0  high # 8 bonds, QM avg=1.990, rms=0.007
CT1-CTH       268.000    1.529  0  high # opls core
CA-I          268.000    2.091  0  high # opls core ab initio r0
C5BC-C5BC     469.000    1.424  0  high # opls core
H-NP          434.000    1.010  0  high # opls core
C5X-CTO       317.000    1.504  0  high # opls core
CTA-HC        340.000    1.090  0  high # opls core
C5A-HA        367.000    1.080  0  high # opls core
CT-NP         367.000    1.471  0  high # opls core
CP1-HC        340.000    1.090  0  high # opls core
CT-N          337.000    1.449  0  high # opls core
CT1-CTC       268.000    1.529  0  high # opls core
CM-CNA        549.000    1.340  0  high # opls core
CNA-N*        448.000    1.365  0  high # opls core
Br-CM         165.000    1.979  0  high # dft/6-31g* empfc
Br-CZ         265.000    1.829  0  high # dft/6-31g* empfc
C-C           245.000    1.528  0  high # dft/6-31g* empfc
C-C5A         325.000    1.466  0  high # dft/6-31g* empfc
C5A-CDS       390.000    1.426  0  high # dft/6-31g* empfc
C-C5B         310.000    1.477  0  high # dft/6-31g* empfc
C-C5BC        320.000    1.468  0  high # dft/6-31g* empfc
C-CHZ         300.000    1.463  0  high # dft/6-31g* empfc
C-CO4         250.000    1.524  0  high # dft/6-31g* empfc
C-CQ          265.000    1.497  0  high # dft/6-31g* empfc
C-CRA         305.000    1.477  0  high # dft/6-31g* empfc
C-HC          350.000    1.101  0  high # dft/6-31g* empfc
CDS-HC        355.000    1.091  0  high # dft/6-31g* empfc
C-NI          415.000    1.368  0  high # dft/6-31g* empfc
CDS-NI        480.000    1.352  0  high # dft/6-31g* empfc
C-NS          410.000    1.392  0  high # dft/6-31g* empfc
CDS-S         275.000    1.748  0  high # dft/6-31g* empfc
CDS-SD        340.000    1.659  0  high # dft/6-31g* empfc
CDS-SX        355.000    1.659  0  high # dft/6-31g* empfc
C-SH          205.000    1.826  0  high # dft/6-31g* empfc
CDS-SH        225.000    1.785  0  high # dft/6-31g* empfc
C3T-CO4       290.000    1.496  0  high # dft/6-31g* empfc
C3T-CT        275.000    1.510  0  high # dft/6-31g* empfc
C3T-Cl        220.000    1.750  0  high # mmff  empfc
C3T-F         405.000    1.383  0  high # dft/6-31g* empfc
C3T-N         330.000    1.419  0  high # dft/6-31g* empfc
C3T-NT        330.000    1.445  0  high # dft/6-31g* empfc
C3T-O3T       335.000    1.432  3  high # dft/6-31g* empfc
C3T-SH        205.000    1.816  0  high # dft/6-31g* empfc
C4-C4T        250.000    1.540  4  high # dft/6-31g* empfc
C4-N4         440.000    1.369  4  high # mmff  empfc
C4-O          930.000    1.212  0  high # dft/6-31g* empfc
C4M-C4M       585.000    1.342  4  high # dft/6-31g* empfc
C4M-C4T       275.000    1.517  4  high # dft/6-31g* empfc
C4M-HC        380.000    1.086  0  high # dft/6-31g* empfc
C4T-CO4       265.000    1.493  0  high # dft/6-31g* empfc
C4T-CO4       255.000    1.551  4  high # mmff  empfc
C4T-CT        260.000    1.519  0  high # dft/6-31g* empfc
C4T-Cl        185.000    1.815  0  high # dft/6-31g* empfc
C4T-N4        305.000    1.456  4  high # mmff  empfc
C4T-NA        345.000    1.426  0  high # dft/6-31g* empfc
C4T-NT        305.000    1.456  0  high # mmff  empfc
C4T-O4T       320.000    1.440  4  high # dft/6-31g* empfc
C4T-OH        375.000    1.409  0  high # dft/6-31g* empfc
C4T-S         200.000    1.824  0  high # dft/6-31g* empfc
C4T-SH        200.000    1.832  0  high # dft/6-31g* empfc
C5-C5         380.000    1.430  0  high # mmff 1 occ  empfc
C5-C57        425.000    1.406  0  high # mmff 1 occ ab initio r0  empfc
C5-HA         375.000    1.083  0  high # mmff  empfc
C55-N55       425.000    1.386  0  high # dft/6-31g* empfc
C55-N5B       610.000    1.305  0  high # dft/6-31g* empfc
C55-NA        485.000    1.348  0  high # mmff  empfc
C55-SA        255.000    1.753  0  high # dft/6-31g* empfc
C56A-C5B      480.000    1.377  0  high # mmff  empfc
C56A-CB       480.000    1.377  0  high # mmff  empfc
C56A-N5A      450.000    1.364  0  high # mmff  empfc
C56A-NC56     450.000    1.364  0  high # mmff  empfc
C56A-OA       425.000    1.380  0  high # dft/6-31g* empfc
C56A-SA       255.000    1.767  0  high # dft/6-31g* empfc
C56B-C56B     365.000    1.456  0  high # dft/6-31g* empfc
C56B-C5B      380.000    1.440  0  high # dft/6-31g* empfc
C56B-N5B      425.000    1.391  0  high # dft/6-31g* empfc
C56B-NB       525.000    1.325  0  high # dft/6-31g* empfc
C56P-CAA      485.000    1.375  0  high # mmff  empfc
C56P-N5P      515.000    1.335  0  high # mmff 2 occ  empfc
C56P-NB       535.000    1.325  0  high # mmff ab initio r0  empfc
C56P-NAA      545.000    1.322  0  high # mmff ab initio r0  empfc
C56P-NC       515.000    1.335  0  high # mmff  empfc
C56P-NP56     515.000    1.335  0  high # mmff 3 occ  empfc
C56X-C56X     435.000    1.392  0  high # dft/6-31g* empfc
C56X-CA       460.000    1.382  0  high # dft/6-31g* empfc
C56X-N5P      410.000    1.391  0  high # dft/6-31g* empfc
C56X-NP56     420.000    1.381  0  high # mmff  empfc
C57-C57       285.000    1.501  0  high # mmff ab initio r0  empfc
C57-C7        445.000    1.393  0  high # mmff 1 occ ab initio r0  empfc
C5A-C5A       535.000    1.352  0  high # mmff  empfc
C5A-C5A       370.000    1.441  1  high # dft/6-31g* empfc
C5A-C5X       515.000    1.367  0  high # dft/6-31g* empfc
C5A-CA        365.000    1.450  1  high # dft/6-31g* empfc
C5A-CB        480.000    1.377  0  high # mmff  empfc
C5A-CDX       340.000    1.455  0  high # dft/6-31g* empfc
C5A-CHZ       360.000    1.434  0  high # dft/6-31g* empfc
C5A-CT        295.000    1.489  0  high # dft/6-31g* empfc
C5A-Cl        245.000    1.718  0  high # mmff  empfc
C5A-N55       430.000    1.384  0  high # dft/6-31g* empfc
C5A-NAX       400.000    1.405  0  high # dft/6-31g* empfc
C5A-NC56      450.000    1.380  0  high # dft/6-31g* empfc
C5A-NE        415.000    1.386  0  high # dft/6-31g* empfc
C5A-NO2       370.000    1.420  0  high # dft/6-31g* empfc
C5A-NP        310.000    1.456  0  high # dft/6-31g* empfc
C5A-NP56      420.000    1.381  0  high # mmff  empfc
C5A-OH        465.000    1.360  0  high # dft/6-31g* empfc
C5A-OS        485.000    1.345  0  high # dft/6-31g* empfc
C5A-SA        265.000    1.745  0  high # dft/6-31g* empfc
C5A-SM        265.000    1.736  0  high # mmff ab initio r0  empfc
C5A-SY        235.000    1.773  0  high # dft/6-31g* empfc
C5A-Si        175.000    1.889  0  high # dft/6-31g* empfc
C5B-C5B       400.000    1.425  0  high # dft/6-31g* empfc
C5B-C5X       480.000    1.377  0  high # mmff 2 occ  empfc
C5B-CA        475.000    1.379  0  high # mmff  empfc
C5B-CA        330.000    1.454  1  high # dft/6-31g* empfc
C5B-CAB       380.000    1.431  0  high # mmff  empfc
C5B-CB        400.000    1.418  0  high # mmff  empfc
C5B-CDX       325.000    1.468  0  high # dft/6-31g* empfc
C5B-CN56      480.000    1.377  0  high # mmff 10 occ  empfc
C5B-CR3       400.000    1.418  0  high # mmff  empfc
C5B-CT        295.000    1.494  0  high # dft/6-31g* empfc
C5B-Cl        265.000    1.699  0  high # mmff  empfc
C5B-F         535.000    1.313  0  high # mmff  empfc
C5B-N55       445.000    1.368  0  high # mmff  empfc
C5B-N5A       585.000    1.311  0  high # dft/6-31g* empfc
C5B-N5P       420.000    1.386  0  high # dft/6-31g* empfc
C5B-NE        405.000    1.400  0  high # dft/6-31g* empfc
